@relation 'marketing data for liner regression-weka.filters.unsupervised.attribute.Reorder-R1,2,3,5,4'

@attribute ﻿youtube numeric
@attribute facebook numeric
@attribute newspaper numeric
@attribute Category {A,B}
@attribute sales numeric

@data
0.84,47.52,10.44,A,1.92
4.92,13.92,6.84,A,3.84
10.32,2.52,1.2,A,5.76
6.48,35.88,11.28,A,6.36
15.72,0.48,30.72,A,6.36
8.76,33.72,49.68,A,6.6
15.84,19.08,59.52,A,6.72
10.08,32.64,2.52,A,6.84
20.64,4.92,37.92,A,7.08
23.28,19.2,26.76,A,7.92
9.36,46.68,60.72,A,7.92
22.44,14.52,28.08,A,8.04
33,1.92,24.84,A,8.28
22.56,26.04,60.48,A,8.4
10.44,58.68,90,A,8.64
30,13.2,35.64,A,8.64
34.32,1.8,39.6,A,8.76
14.04,44.28,54.24,A,8.76
23.52,24.12,20.4,A,9.12
45.84,4.44,16.56,A,9.12
21.48,45.12,25.92,A,9.6
64.2,2.4,25.68,A,9.72
60,13.92,22.08,A,10.08
30.12,30.84,51.96,A,10.2
79.32,6.96,29.04,A,10.32
20.28,52.44,107.28,A,10.44
108.48,0.36,27.84,A,10.44
67.44,6.84,35.64,A,10.44
32.16,39.6,23.16,A,10.56
96.24,0,11.04,A,10.56
28.56,42.12,79.08,A,11.04
20.64,55.08,83.16,A,11.16
82.8,11.16,1.08,A,11.16
91.68,0.96,17.76,A,11.28
114.84,1.68,8.88,A,11.4
37.8,29.52,2.64,A,11.4
30.72,46.8,11.16,A,11.4
116.64,1.8,36,A,11.52
51.6,31.08,24.6,B,11.52
117,9.12,8.64,B,11.64
74.76,15.12,21.96,B,11.64
80.28,14.04,44.16,B,11.64
71.52,14.4,51.72,B,11.64
113.04,5.88,9.72,A,11.64
90.6,12.96,7.2,A,11.88
51.72,32.04,42.12,A,12.12
53.64,30.96,24.72,A,12.12
179.76,1.56,29.16,A,12.12
168.36,2.28,10.8,A,12.36
167.4,2.52,31.92,A,12.36
53.4,47.16,54.12,A,12.48
125.52,6.84,41.28,A,12.48
84.72,19.2,48.96,A,12.6
187.92,3.12,9.96,A,12.6
239.76,3.12,25.44,A,12.72
107.64,11.88,42.84,A,12.72
104.64,14.16,31.08,A,12.72
120.48,11.52,4.32,B,12.84
44.28,46.32,78.72,B,12.96
47.4,49.32,6.96,B,12.96
88.08,20.4,15.48,B,13.08
45.6,48.36,14.28,B,13.08
155.28,6.84,37.56,B,13.2
139.2,9.24,27.72,B,13.2
161.16,5.88,11.16,B,13.44
83.04,24.6,21.96,B,13.56
90.36,24.36,39,B,13.56
239.76,3.72,41.52,B,13.68
115.44,17.76,46.68,B,13.68
128.88,16.8,13.08,B,13.8
266.88,4.08,15.72,B,13.8
268.8,2.88,18.72,B,13.92
57.96,56.4,10.2,B,13.92
145.2,10.08,58.44,B,13.92
237.12,4.2,7.08,B,14.04
266.88,5.16,59.76,B,14.04
202.08,8.52,15.36,B,14.04
204.24,9.36,42.24,B,14.04
69,39.36,28.2,B,14.16
91.68,32.04,26.76,B,14.16
332.04,2.76,28.44,B,14.16
135.48,20.88,46.32,B,14.28
140.64,17.64,6.48,B,14.28
281.4,4.08,101.76,B,14.28
315.48,4.2,23.4,B,14.4
91.56,33,19.2,B,14.4
167.04,17.16,30.72,B,14.64
248.16,6.24,23.28,B,14.64
262.2,6.48,32.88,B,14.64
287.76,4.92,44.28,B,14.76
131.76,17.16,38.04,B,14.88
81.36,43.92,136.8,A,15
